pod index,K4.0 Greedy,K4.0 Dynamic,K8s_leastAllocated
"0,0","0,46","0,35","0,309"
"1,0","0,46","0,35","0,441"
"2,0","0,46","0,35","0,549"
"3,0","0,54","0,35","0,387"
"4,0","0,76","0,57","0,518"
"5,0","0,76","0,57","0,524"
"6,0","0,76","0,57","0,729"
"7,0","0,70","0,57","0,773"
"8,0","0,70","0,57","0,781"
"9,0","0,70","0,57","0,824"
"10,0","0,96","0,122","0,824"
"11,0","0,96","0,122","0,894"
"12,0","0,96","0,122","0,942"
"13,0","0,96","0,122","1,0"
"14,0","0,186","0,122","0,955"
"15,0","0,186","0,122","1,0"
"16,0","0,186","0,122","1,0"
"17,0","0,186","0,122","1,0"
"18,0","0,186","0,141","1,0"
"19,0","0,186","0,141","1,0"
"20,0","0,186","0,141","1,0"
"21,0","0,186","0,141","1,0"
"22,0","0,186","0,141","0,905"
"23,0","0,186","0,141","0,846"
"24,0","0,287","0,313","1,0"
"25,0","0,287","0,313","1,0"
"26,0","0,287","0,313","1,0"
"27,0","0,358","0,313","1,0"
"28,0","0,358","0,313","1,0"
"29,0","0,358","0,313","1,0"
"30,0","0,358","0,313","1,0"
"31,0","0,358","0,313","1,0"
"32,0","0,358","0,313","1,0"
"33,0","0,336","0,313","0,967"
"34,0","0,336","0,313","0,993"
"35,0","0,336","0,313","1,0"
"36,0","0,336","0,313","1,0"
"37,0","0,336","0,313","1,0"
"38,0","0,358","0,313","1,0"
"39,0","0,358","0,313","1,0"
"40,0","0,358","0,313","1,0"
"41,0","0,336","0,313","0,912"
"42,0","0,336","0,313","1,0"
"43,0","0,336","0,313","1,0"
"44,0","0,336","0,262","1,0"
"45,0","0,336","0,262","0,895"
"46,0","0,336","0,262","0,818"
"47,0","0,336","0,262","0,861"
"48,0","0,336","0,262","0,898"
"49,0","0,310","0,262","0,932"
"50,0","0,310","0,262","0,788"
"51,0","0,310","0,262","0,938"
"52,0","0,310","0,262","0,938"
"53,0","0,310","0,262","0,938"
"54,0","0,310","0,262","0,915"
"55,0","0,310","0,262","0,915"
"56,0","0,310","0,262","0,976"
"57,0","0,332","0,262","0,976"
"58,0","0,469","0,531","0,976"
"59,0","0,469","0,531","0,930"
"60,0","0,469","0,531","0,930"
"61,0","0,469","0,531","0,836"
"62,0","0,469","0,531","0,836"
"63,0","0,469","0,531","0,930"
"64,0","0,469","0,531","0,955"
"65,0","0,469","0,531","0,955"
"66,0","0,469","0,531","0,955"
"67,0","0,358","0,531","0,955"
"68,0","0,358","0,531","0,955"
"69,0","0,358","0,531","0,955"
"70,0","0,358","0,531","0,955"
