pod index,K4.0 Greedy,K4.0 Dynamic,K8s_mostAllocated
"0,0","1,0","1,0","1,0"
"1,0","1,0","1,0","1,0"
"2,0","1,0","1,0","1,0"
"3,0","1,0","1,0","1,0"
"4,0","1,0","1,0","1,0"
"5,0","1,0","1,0","1,0"
"6,0","1,0","1,0","1,0"
"7,0","1,0","1,0","1,0"
"8,0","1,0","1,0","1,0"
"9,0","1,0","1,0","1,0"
"10,0","1,0","1,0","1,0"
"11,0","1,0","1,0","1,0"
"12,0","1,0","1,0","1,0"
"13,0","1,0","1,0","1,0"
"14,0","1,0","1,0","1,0"
"15,0","1,0","1,0","1,0"
"16,0","1,0","1,0","1,0"
"17,0","1,0","1,0","1,0"
"18,0","1,0","1,0","1,0"
"19,0","1,0","1,0","1,0"
"20,0","1,0","1,0","1,0"
"21,0","1,0","1,0","1,0"
"22,0","1,0","1,0","1,0"
"23,0","1,0","1,0","1,0"
"24,0","1,0","1,0","1,0"
"25,0","1,0","1,0","1,0"
"26,0","1,0","1,0","1,0"
"27,0","1,0","1,0","1,0"
"28,0","1,0","1,0","1,0"
"29,0","1,0","1,0","1,0"
"30,0","1,0","1,0","1,0"
"31,0","1,0","1,0","1,0"
"32,0","1,0","1,0","1,0"
"33,0","1,0","1,0","1,0"
"34,0","1,0","1,0","1,0"
"35,0","1,0","1,0","1,0"
"36,0","1,0","1,0","0,972"
"37,0","1,0","1,0","0,973"
"38,0","1,0","1,0","0,974"
"39,0","1,0","1,0","0,975"
"40,0","1,0","1,0","0,951"
"41,0","1,0","1,0","0,952"
"42,0","1,0","1,0","0,953"
"43,0","1,0","1,0","0,954"
"44,0","1,0","1,0","0,955"
"45,0","1,0","1,0","0,956"
"46,0","1,0","1,0","0,957"
"47,0","1,0","1,0","0,937"
"48,0","1,0","1,0","0,938"
"49,0","1,0","1,0","0,940"
"50,0","1,0","1,0","0,941"
"51,0","1,0","1,0","0,942"
"52,0","1,0","1,0","0,943"
"53,0","1,0","1,0","0,944"
"54,0","1,0","1,0","0,945"
"55,0","1,0","1,0","0,946"
"56,0","1,0","1,0","0,947"
"57,0","1,0","1,0","0,948"
"58,0","1,0","1,0","0,949"
"59,0","1,0","0,983","0,950"
"60,0","1,0","0,983","0,950"
"61,0","1,0","0,983","0,951"
"62,0","1,0","0,984","0,952"
"63,0","1,0","0,984","0,953"
"64,0","1,0","0,984","0,953"
"65,0","1,0","0,984","0,954"
"66,0","1,0","0,985","0,940"
"67,0","1,0","0,985","0,941"
"68,0","1,0","0,985","0,927"
"69,0","1,0","0,985","0,928"
"70,0","1,0","0,985","0,929"
"71,0","0,986","0,986","0,916"
"72,0","0,986","0,986","0,917"
"73,0","0,986","0,986","0,918"
"74,0","0,986","0,986","0,920"
"75,0","0,986","0,986","0,921"
"76,0","0,987","0,987","0,922"
"77,0","0,987","0,987","0,923"
"78,0","0,987","0,987","0,924"
"79,0","0,987","0,987","0,925"
"80,0","0,987","0,987","0,925"
"81,0","0,987","0,987","0,926"
"82,0","0,987","0,987","0,915"
"83,0","0,988","0,988","0,916"
"84,0","0,988","0,988","0,917"
"85,0","0,988","0,988","0,918"
"86,0","0,988","0,988","0,919"
"87,0","0,988","0,988","0,920"
"88,0","0,988","0,988","0,921"
"89,0","0,988","0,988","0,922"
"90,0","0,989","0,989","0,923"
"91,0","0,989","0,989","0,923"
"92,0","0,989","0,989","0,924"
"93,0","0,989","0,989","0,925"
"94,0","0,989","0,989","0,926"
"95,0","0,989","0,989","0,927"
"96,0","0,989","0,989","0,927"
"97,0","0,989","0,989","0,928"
"98,0","0,989","0,989","0,929"
"99,0","0,990","0,990","0,930"
"100,0","0,990","0,990","0,930"
"101,0","0,990","0,990","0,931"
"102,0","0,990","0,990","0,922"
"103,0","0,990","0,990","0,923"
"104,0","0,990","0,990","0,923"
"105,0","0,981","0,981","0,915"
"106,0","0,981","0,981","0,906"
"107,0","0,981","0,981","0,907"
"108,0","0,972","0,981","0,899"
"109,0","0,963","0,981","0,900"
"110,0","0,963","0,981","0,891"
"111,0","0,964","0,973","0,883"
"112,0","0,955","0,973","0,876"
"113,0","0,956","0,973","0,877"
"114,0","0,956","0,973","0,878"
"115,0","0,956","0,974","0,879"
"116,0","0,957","0,974","0,880"
"117,0","0,957","0,974","0,881"
"118,0","0,957","0,974","0,882"
"119,0","0,958","0,975","0,883"
"120,0","0,958","0,975","0,884"
"121,0","0,959","0,975","0,885"
"122,0","0,951","0,975","0,878"
"123,0","0,951","0,975","0,879"
"124,0","0,944","0,976","0,880"
"125,0","0,944","0,976","0,880"
"126,0","0,944","0,976","0,881"
"127,0","0,945","0,976","0,882"
"128,0","0,945","0,976","0,883"
"129,0","0,938","0,976","0,876"
"130,0","0,938","0,977","0,877"
"131,0","0,939","0,977","0,871"
"132,0","0,939","0,977","0,864"
"133,0","0,940","0,977","0,865"
"134,0","0,940","0,977","0,866"
"135,0","0,941","0,977","0,867"
"136,0","0,941","0,978","0,868"
"137,0","0,942","0,978","0,862"
"138,0","0,942","0,978","0,863"
"139,0","0,942","0,978","0,864"
"140,0","0,943","0,978","0,858"
"141,0","0,943","0,978","0,859"
"142,0","0,944","0,979","0,853"
"143,0","0,944","0,979","0,854"
"144,0","0,944","0,979","0,855"
"145,0","0,945","0,979","0,856"
"146,0","0,945","0,979","0,857"
"147,0","0,945","0,979","0,858"
"148,0","0,946","0,979","0,859"
"149,0","0,946","0,980","0,860"
"150,0","0,947","0,980","0,860"
"151,0","0,947","0,980","0,861"
"152,0","0,947","0,980","0,862"
"153,0","0,948","0,980","0,863"
"154,0","0,948","0,980","0,864"
"155,0","0,948","0,980","0,858"
"156,0","0,949","0,980","0,859"
"157,0","0,949","0,981","0,860"
"158,0","0,949","0,981","0,861"
"159,0","0,950","0,981","0,862"
"160,0","0,950","0,981","0,863"
