pod index,K4.0 Greedy,K4.0 Dynamic,K8s_mostAllocated
"0,0","0,68","0,67","0,312"
"1,0","0,68","0,67","0,312"
"2,0","0,68","0,67","0,312"
"3,0","0,68","0,67","0,312"
"4,0","0,78","0,67","0,312"
"5,0","0,174","0,134","0,277"
"6,0","0,174","0,134","0,277"
"7,0","0,174","0,134","0,352"
"8,0","0,174","0,199","0,352"
"9,0","0,213","0,199","0,498"
"10,0","0,213","0,199","0,498"
"11,0","0,213","0,199","0,498"
"12,0","0,213","0,199","0,498"
"13,0","0,213","0,199","0,498"
"14,0","0,281","0,243","0,558"
"15,0","0,308","0,346","0,558"
"16,0","0,383","0,346","0,558"
"17,0","0,383","0,346","0,558"
"18,0","0,383","0,346","0,558"
"19,0","0,383","0,346","0,558"
"20,0","0,383","0,346","0,558"
"21,0","0,383","0,346","0,444"
"22,0","0,316","0,301","0,444"
"23,0","0,399","0,384","0,611"
"24,0","0,399","0,384","0,611"
"25,0","0,399","0,384","0,611"
"26,0","0,399","0,384","0,611"
"27,0","0,385","0,344","0,611"
"28,0","0,385","0,344","0,611"
"29,0","0,385","0,344","0,611"
"30,0","0,365","0,344","0,611"
"31,0","0,365","0,344","0,611"
"32,0","0,365","0,344","0,611"
"33,0","0,365","0,344","0,584"
"34,0","0,365","0,344","0,584"
"35,0","0,365","0,262","0,584"
"36,0","0,365","0,376","0,584"
"37,0","0,365","0,376","0,584"
"38,0","0,365","0,376","0,584"
"39,0","0,365","0,376","0,584"
"40,0","0,405","0,475","0,584"
"41,0","0,405","0,475","0,584"
"42,0","0,405","0,475","0,584"
"43,0","0,405","0,475","0,584"
"44,0","0,405","0,475","0,584"
"45,0","0,405","0,475","0,584"
"46,0","0,405","0,475","0,584"
"47,0","0,405","0,415","0,584"
"48,0","0,405","0,415","0,584"
"49,0","0,405","0,415","0,611"
"50,0","0,405","0,415","0,611"
"51,0","0,405","0,415","0,611"
"52,0","0,405","0,415","0,611"
"53,0","0,405","0,415","0,611"
"54,0","0,405","0,415","0,591"
"55,0","0,405","0,415","0,591"
"56,0","0,405","0,415","0,591"
"57,0","0,405","0,415","0,591"
"58,0","0,405","0,618","0,591"
"59,0","0,608","0,618","0,591"
"60,0","0,608","0,618","0,591"
"61,0","0,608","0,618","0,591"
"62,0","0,608","0,618","0,591"
"63,0","0,608","0,618","0,591"
"64,0","0,608","0,618","0,591"
"65,0","0,608","0,618","0,591"
"66,0","0,608","0,618","0,591"
"67,0","0,608","0,618","0,591"
"68,0","0,608","0,618","0,591"
"69,0","0,608","0,618","0,591"
"70,0","0,651","0,618","0,656"
"71,0","0,651","0,618","0,656"
"72,0","0,651","0,618","0,656"
"73,0","0,651","0,618","0,591"
"74,0","0,651","0,618","0,591"
"75,0","0,651","0,618","0,591"
"76,0","0,651","0,618","0,591"
"77,0","0,608","0,618","0,591"
"78,0","0,608","0,618","0,591"
"79,0","0,608","0,618","0,591"
"80,0","0,608","0,618","0,591"
"81,0","0,608","0,618","0,591"
"82,0","0,608","0,618","0,591"
"83,0","0,608","0,618","0,591"
"84,0","0,628","0,618","0,591"
"85,0","0,628","0,618","0,591"
"86,0","0,628","0,618","0,591"
"87,0","0,628","0,618","0,531"
"88,0","0,608","0,618","0,531"
"89,0","0,608","0,618","0,456"
"90,0","0,608","0,618","0,456"
"91,0","0,608","0,618","0,415"
"92,0","0,608","0,618","0,531"
"93,0","0,608","0,618","0,531"
"94,0","0,608","0,618","0,531"
"95,0","0,608","0,618","0,531"
"96,0","0,608","0,618","0,538"
"97,0","0,608","0,618","0,538"
"98,0","0,608","0,618","0,538"
"99,0","0,608","0,618","0,538"
"100,0","0,608","0,618","0,531"
"101,0","0,608","0,544","0,591"
"102,0","0,608","0,544","0,591"
"103,0","0,608","0,544","0,591"
"104,0","0,608","0,544","0,591"
"105,0","0,608","0,544","0,591"
"106,0","0,608","0,544","0,591"
"107,0","0,608","0,544","0,591"
"108,0","0,608","0,544","0,591"
"109,0","0,608","0,618","0,591"
"110,0","0,608","0,618","0,591"
"111,0","0,608","0,618","0,516"
"112,0","0,608","0,618","0,516"
"113,0","0,608","0,618","0,516"
"114,0","0,695","0,618","0,713"
"115,0","0,695","0,618","0,713"
"116,0","0,695","0,618","0,713"
"117,0","0,695","0,618","0,713"
"118,0","0,695","0,618","0,713"
"119,0","0,695","0,618","0,713"
"120,0","0,695","0,618","0,713"
"121,0","0,695","0,618","0,638"
"122,0","0,695","0,618","0,638"
"123,0","0,695","0,618","0,638"
"124,0","0,651","0,618","0,638"
"125,0","0,651","0,618","0,573"
"126,0","0,651","0,618","0,554"
"127,0","0,651","0,618","0,554"
"128,0","0,651","0,618","0,554"
"129,0","0,651","0,618","0,554"
"130,0","0,651","0,618","0,554"
"131,0","0,651","0,618","0,554"
"132,0","0,651","0,618","0,526"
"133,0","0,651","0,618","0,526"
"134,0","0,651","0,618","0,526"
"135,0","0,651","0,544","0,526"
"136,0","0,651","0,536","0,526"
"137,0","0,651","0,536","0,526"
"138,0","0,651","0,536","0,451"
"139,0","0,651","0,536","0,451"
"140,0","0,631","0,536","0,451"
"141,0","0,631","0,536","0,411"
"142,0","0,631","0,618","0,411"
"143,0","0,631","0,618","0,411"
"144,0","0,631","0,618","0,485"
"145,0","0,631","0,618","0,485"
"146,0","0,631","0,618","0,485"
"147,0","0,631","0,618","0,485"
"148,0","0,631","0,618","0,485"
"149,0","0,631","0,618","0,591"
"150,0","0,631","0,618","0,591"
"151,0","0,548","0,618","0,645"
"152,0","0,548","0,618","0,645"
"153,0","0,548","0,536","0,645"
"154,0","0,548","0,536","0,645"
"155,0","0,548","0,536","0,645"
"156,0","0,548","0,536","0,645"
"157,0","0,548","0,536","0,645"
"158,0","0,574","0,536","0,645"
"159,0","0,574","0,536","0,635"
"160,0","0,574","0,536","0,635"
"161,0","0,657","0,536","0,635"
"162,0","0,657","0,536","0,667"
"163,0","0,657","0,536","0,667"
"164,0","0,657","0,536","0,667"
"165,0","0,657","0,536","0,667"
"166,0","0,657","0,536","0,667"
"167,0","0,657","0,536","0,667"
"168,0","0,657","0,536","0,667"
"169,0","0,657","0,585","0,713"
"170,0","0,657","0,585","0,713"
"171,0","0,657","0,585","0,713"
"172,0","0,657","0,585","0,713"
"173,0","0,657","0,585","0,713"
"174,0","0,657","0,668","0,713"
"175,0","0,657","0,668","0,713"
"176,0","0,657","0,668","0,713"
"177,0","0,657","0,668","0,713"
"178,0","0,657","0,668","0,713"
"179,0","0,657","0,668","0,713"
"180,0","0,657","0,668","0,667"
"181,0","0,657","0,668","0,667"
"182,0","0,657","0,668","0,667"
"183,0","0,677","0,668","0,622"
"184,0","0,677","0,668","0,622"
"185,0","0,677","0,658","0,622"
"186,0","0,677","0,658","0,602"
"187,0","0,677","0,658","0,602"
"188,0","0,677","0,618","0,602"
"189,0","0,594","0,618","0,602"
"190,0","0,594","0,618","0,602"
"191,0","0,594","0,618","0,602"
"192,0","0,594","0,554","0,602"
"193,0","0,594","0,554","0,667"
"194,0","0,594","0,554","0,667"
"195,0","0,594","0,554","0,667"
"196,0","0,594","0,593","0,740"
"197,0","0,594","0,593","0,740"
"198,0","0,594","0,593","0,740"
"199,0","0,594","0,593","0,740"
"200,0","0,594","0,593","0,740"
"201,0","0,594","0,593","0,740"
"202,0","0,677","0,593","0,740"
"203,0","0,677","0,593","0,740"
"204,0","0,677","0,593","0,740"
"205,0","0,677","0,593","0,740"
"206,0","0,677","0,593","0,706"
"207,0","0,677","0,593","0,667"
"208,0","0,677","0,593","0,667"
"209,0","0,677","0,593","0,667"
"210,0","0,677","0,593","0,667"
"211,0","0,677","0,593","0,667"
"212,0","0,594","0,593","0,667"
"213,0","0,594","0,593","0,584"
"214,0","0,594","0,593","0,584"
"215,0","0,594","0,593","0,667"
"216,0","0,677","0,593","0,667"
"217,0","0,677","0,593","0,711"
"218,0","0,677","0,593","0,711"
"219,0","0,677","0,593","0,711"
"220,0","0,677","0,593","0,711"
"221,0","0,677","0,593","0,711"
"222,0","0,677","0,593","0,584"
"223,0","0,677","0,593","0,584"
"224,0","0,677","0,593","0,584"
"225,0","0,677","0,593","0,584"
"226,0","0,677","0,593","0,584"
"227,0","0,677","0,593","0,584"
"228,0","0,677","0,593","0,584"
"229,0","0,677","0,593","0,584"
"230,0","0,637","0,593","0,584"
"231,0","0,637","0,554","0,584"
"232,0","0,637","0,554","0,584"
"233,0","0,637","0,554","0,584"
"234,0","0,637","0,554","0,584"
"235,0","0,637","0,554","0,584"
"236,0","0,637","0,554","0,584"
"237,0","0,637","0,554","0,584"
"238,0","0,637","0,554","0,584"
"239,0","0,677","0,554","0,584"
"240,0","0,677","0,618","0,667"
"241,0","0,677","0,618","0,706"
"242,0","0,795","0,628","0,742"
"243,0","0,795","0,628","0,742"
"244,0","0,795","0,628","0,742"
"245,0","0,795","0,628","0,742"
"246,0","0,795","0,628","0,742"
"247,0","0,795","0,628","0,742"
"248,0","0,795","0,628","0,706"
"249,0","0,795","0,628","0,706"
"250,0","0,795","0,628","0,665"
"251,0","0,722","0,618","0,665"
"252,0","0,722","0,618","0,665"
"253,0","0,722","0,618","0,706"
"254,0","0,756","0,618","0,751"
"255,0","0,756","0,618","0,751"
"256,0","0,756","0,544","0,751"
"257,0","0,756","0,618","0,751"
"258,0","0,756","0,618","0,751"
"259,0","0,756","0,618","0,751"
"260,0","0,756","0,618","0,706"
"261,0","0,756","0,618","0,706"
"262,0","0,756","0,618","0,706"
"263,0","0,756","0,618","0,706"
"264,0","0,756","0,618","0,706"
"265,0","0,756","0,618","0,706"
"266,0","0,756","0,618","0,706"
"267,0","0,756","0,618","0,706"
"268,0","0,722","0,618","0,706"
"269,0","0,711","0,618","0,706"
"270,0","0,711","0,618","0,706"
"271,0","0,711","0,618","0,706"
"272,0","0,711","0,618","0,706"
"273,0","0,711","0,618","0,706"
"274,0","0,711","0,618","0,706"
"275,0","0,711","0,618","0,706"
"276,0","0,711","0,618","0,727"
"277,0","0,711","0,618","0,727"
"278,0","0,711","0,618","0,727"
"279,0","0,711","0,618","0,706"
"280,0","0,711","0,618","0,667"
"281,0","0,711","0,618","0,667"
"282,0","0,711","0,618","0,667"
"283,0","0,711","0,618","0,667"
"284,0","0,711","0,618","0,747"
"285,0","0,711","0,618","0,747"
"286,0","0,711","0,618","0,747"
"287,0","0,711","0,618","0,667"
"288,0","0,711","0,618","0,667"
"289,0","0,711","0,544","0,667"
"290,0","0,711","0,544","0,667"
"291,0","0,711","0,544","0,667"
"292,0","0,711","0,544","0,667"
"293,0","0,711","0,544","0,667"
"294,0","0,754","0,638","0,764"
"295,0","0,754","0,638","0,764"
"296,0","0,754","0,638","0,764"
"297,0","0,754","0,638","0,764"
"298,0","0,754","0,638","0,764"
"299,0","0,754","0,638","0,764"
"300,0","0,754","0,638","0,711"
"301,0","0,754","0,638","0,592"
"302,0","0,754","0,638","0,592"
"303,0","0,754","0,638","0,667"
"304,0","0,754","0,544","0,667"
"305,0","0,754","0,544","0,667"
"306,0","0,754","0,544","0,667"
"307,0","0,754","0,544","0,667"
"308,0","0,754","0,544","0,667"
"309,0","0,754","0,544","0,667"
"310,0","0,754","0,544","0,667"
"311,0","0,754","0,544","0,667"
"312,0","0,754","0,544","0,667"
"313,0","0,754","0,544","0,626"
"314,0","0,754","0,618","0,592"
"315,0","0,754","0,618","0,592"
"316,0","0,754","0,618","0,592"
"317,0","0,754","0,618","0,628"
"318,0","0,671","0,618","0,628"
"319,0","0,671","0,618","0,628"
"320,0","0,754","0,618","0,628"
"321,0","0,754","0,618","0,628"
"322,0","0,754","0,618","0,628"
"323,0","0,754","0,618","0,628"
"324,0","0,754","0,618","0,628"
"325,0","0,754","0,618","0,628"
"326,0","0,754","0,618","0,628"
"327,0","0,754","0,618","0,628"
"328,0","0,754","0,618","0,628"
"329,0","0,754","0,618","0,628"
"330,0","0,754","0,618","0,628"
"331,0","0,754","0,618","0,628"
"332,0","0,754","0,618","0,703"
"333,0","0,754","0,618","0,703"
"334,0","0,754","0,618","0,703"
"335,0","0,754","0,618","0,703"
"336,0","0,754","0,618","0,703"
"337,0","0,754","0,618","0,703"
"338,0","0,754","0,618","0,725"
"339,0","0,754","0,618","0,725"
"340,0","0,754","0,618","0,725"
"341,0","0,754","0,618","0,725"
"342,0","0,754","0,618","0,725"
"343,0","0,754","0,618","0,725"
"344,0","0,754","0,618","0,725"
"345,0","0,754","0,618","0,725"
"346,0","0,754","0,618","0,725"
"347,0","0,689","0,618","0,725"
"348,0","0,689","0,618","0,725"
