pod index,K4.0 Greedy,K4.0 Dynamic,K8s_requestedToCapacityRatio
"0,0","0,132","0,68","0,218"
"1,0","0,132","0,68","0,218"
"2,0","0,132","0,68","0,218"
"3,0","0,152","0,85","0,281"
"4,0","0,178","0,121","0,307"
"5,0","0,178","0,121","0,307"
"6,0","0,178","0,121","0,434"
"7,0","0,178","0,121","0,434"
"8,0","0,214","0,175","0,434"
"9,0","0,214","0,175","0,434"
"10,0","0,214","0,175","0,434"
"11,0","0,214","0,175","0,434"
"12,0","0,214","0,175","0,434"
"13,0","0,214","0,175","0,434"
"14,0","0,214","0,175","0,477"
"15,0","0,354","0,261","0,477"
"16,0","0,354","0,261","0,477"
"17,0","0,354","0,261","0,477"
"18,0","0,354","0,261","0,477"
"19,0","0,354","0,261","0,477"
"20,0","0,354","0,261","0,520"
"21,0","0,354","0,261","0,520"
"22,0","0,354","0,261","0,520"
"23,0","0,354","0,261","0,520"
"24,0","0,354","0,261","0,520"
"25,0","0,354","0,261","0,520"
"26,0","0,354","0,261","0,520"
"27,0","0,354","0,261","0,520"
"28,0","0,354","0,337","0,520"
"29,0","0,354","0,337","0,520"
"30,0","0,354","0,337","0,520"
"31,0","0,354","0,337","0,596"
"32,0","0,354","0,337","0,596"
"33,0","0,343","0,261","0,510"
"34,0","0,343","0,261","0,510"
"35,0","0,343","0,337","0,510"
"36,0","0,343","0,337","0,510"
"37,0","0,343","0,337","0,510"
"38,0","0,343","0,337","0,510"
"39,0","0,343","0,337","0,510"
"40,0","0,268","0,337","0,510"
"41,0","0,268","0,337","0,510"
"42,0","0,268","0,337","0,510"
"43,0","0,268","0,337","0,510"
"44,0","0,268","0,337","0,510"
"45,0","0,268","0,337","0,510"
"46,0","0,268","0,337","0,510"
"47,0","0,268","0,337","0,510"
"48,0","0,268","0,261","0,510"
"49,0","0,268","0,175","0,510"
"50,0","0,268","0,175","0,510"
"51,0","0,268","0,175","0,510"
"52,0","0,268","0,175","0,510"
"53,0","0,268","0,175","0,510"
"54,0","0,268","0,175","0,510"
"55,0","0,268","0,175","0,510"
"56,0","0,268","0,175","0,510"
"57,0","0,268","0,175","0,398"
"58,0","0,285","0,131","0,398"
"59,0","0,285","0,184","0,451"
"60,0","0,361","0,184","0,451"
"61,0","0,361","0,184","0,494"
"62,0","0,361","0,204","0,568"
"63,0","0,361","0,204","0,568"
"64,0","0,361","0,204","0,568"
"65,0","0,335","0,204","0,568"
"66,0","0,335","0,204","0,568"
"67,0","0,335","0,204","0,515"
"68,0","0,335","0,204","0,478"
"69,0","0,335","0,204","0,568"
"70,0","0,335","0,204","0,568"
"71,0","0,335","0,204","0,568"
"72,0","0,259","0,204","0,516"
"73,0","0,259","0,204","0,451"
"74,0","0,259","0,280","0,527"
"75,0","0,259","0,280","0,527"
"76,0","0,285","0,280","0,527"
"77,0","0,285","0,280","0,527"
"78,0","0,285","0,280","0,451"
"79,0","0,285","0,280","0,451"
"80,0","0,285","0,280","0,451"
"81,0","0,285","0,280","0,451"
"82,0","0,285","0,280","0,451"
"83,0","0,285","0,280","0,451"
"84,0","0,285","0,280","0,451"
"85,0","0,285","0,280","0,409"
"86,0","0,285","0,204","0,451"
"87,0","0,285","0,204","0,461"
"88,0","0,285","0,204","0,461"
"89,0","0,285","0,204","0,497"
"90,0","0,371","0,290","0,497"
"91,0","0,371","0,290","0,497"
"92,0","0,371","0,290","0,573"
"93,0","0,371","0,290","0,573"
"94,0","0,371","0,290","0,573"
"95,0","0,371","0,270","0,527"
"96,0","0,371","0,270","0,527"
"97,0","0,371","0,270","0,527"
"98,0","0,285","0,270","0,527"
"99,0","0,285","0,270","0,527"
"100,0","0,285","0,270","0,527"
"101,0","0,371","0,437","0,527"
"102,0","0,371","0,437","0,527"
"103,0","0,447","0,437","0,527"
"104,0","0,447","0,437","0,518"
"105,0","0,447","0,437","0,518"
"106,0","0,447","0,437","0,518"
"107,0","0,447","0,437","0,518"
"108,0","0,447","0,437","0,518"
"109,0","0,447","0,437","0,518"
"110,0","0,447","0,437","0,481"
"111,0","0,447","0,437","0,481"
"112,0","0,447","0,437","0,481"
"113,0","0,447","0,437","0,465"
"114,0","0,447","0,437","0,491"
"115,0","0,447","0,437","0,527"
"116,0","0,447","0,437","0,527"
"117,0","0,447","0,437","0,527"
"118,0","0,447","0,437","0,527"
"119,0","0,447","0,437","0,527"
"120,0","0,447","0,437","0,527"
"121,0","0,447","0,437","0,527"
"122,0","0,361","0,293","0,491"
"123,0","0,361","0,293","0,491"
"124,0","0,361","0,293","0,491"
"125,0","0,307","0,293","0,491"
"126,0","0,231","0,293","0,465"
"127,0","0,231","0,293","0,465"
"128,0","0,231","0,293","0,465"
"129,0","0,231","0,293","0,465"
"130,0","0,285","0,293","0,451"
"131,0","0,285","0,293","0,451"
"132,0","0,285","0,293","0,451"
"133,0","0,285","0,293","0,451"
"134,0","0,285","0,293","0,451"
"135,0","0,285","0,293","0,415"
"136,0","0,285","0,346","0,415"
"137,0","0,285","0,346","0,415"
"138,0","0,285","0,346","0,415"
"139,0","0,285","0,346","0,415"
"140,0","0,285","0,346","0,415"
"141,0","0,285","0,346","0,415"
"142,0","0,285","0,346","0,415"
"143,0","0,285","0,346","0,504"
"144,0","0,285","0,270","0,462"
"145,0","0,285","0,217","0,462"
"146,0","0,285","0,217","0,478"
"147,0","0,285","0,217","0,478"
"148,0","0,285","0,217","0,478"
"149,0","0,285","0,217","0,478"
"150,0","0,231","0,217","0,500"
"151,0","0,231","0,217","0,526"
"152,0","0,231","0,217","0,526"
"153,0","0,231","0,224","0,526"
"154,0","0,231","0,224","0,591"
"155,0","0,231","0,224","0,591"
"156,0","0,231","0,224","0,591"
"157,0","0,285","0,224","0,591"
"158,0","0,285","0,277","0,627"
"159,0","0,285","0,277","0,627"
"160,0","0,285","0,277","0,627"
"161,0","0,285","0,277","0,562"
"162,0","0,285","0,443","0,616"
"163,0","0,285","0,443","0,616"
"164,0","0,285","0,443","0,616"
"165,0","0,285","0,443","0,643"
"166,0","0,285","0,443","0,643"
"167,0","0,285","0,443","0,643"
"168,0","0,285","0,443","0,643"
"169,0","0,285","0,443","0,643"
"170,0","0,285","0,443","0,553"
"171,0","0,285","0,443","0,546"
"172,0","0,285","0,357","0,546"
"173,0","0,285","0,357","0,380"
"174,0","0,285","0,191","0,470"
"175,0","0,285","0,191","0,506"
"176,0","0,285","0,191","0,506"
"177,0","0,285","0,267","0,636"
"178,0","0,285","0,267","0,636"
"179,0","0,285","0,267","0,593"
"180,0","0,447","0,267","0,593"
"181,0","0,447","0,267","0,547"
"182,0","0,447","0,267","0,527"
"183,0","0,447","0,267","0,527"
"184,0","0,447","0,267","0,527"
"185,0","0,447","0,267","0,527"
"186,0","0,447","0,353","0,527"
"187,0","0,447","0,353","0,474"
"188,0","0,447","0,353","0,437"
"189,0","0,447","0,353","0,437"
"190,0","0,371","0,353","0,347"
"191,0","0,371","0,300","0,347"
"192,0","0,371","0,300","0,347"
"193,0","0,371","0,300","0,347"
"194,0","0,345","0,300","0,400"
"195,0","0,259","0,300","0,443"
"196,0","0,259","0,300","0,443"
"197,0","0,259","0,300","0,496"
"198,0","0,259","0,300","0,453"
"199,0","0,259","0,300","0,453"
"200,0","0,259","0,300","0,453"
"201,0","0,259","0,300","0,453"
"202,0","0,285","0,300","0,580"
"203,0","0,285","0,300","0,580"
"204,0","0,285","0,300","0,580"
"205,0","0,285","0,300","0,580"
"206,0","0,285","0,300","0,580"
"207,0","0,285","0,300","0,573"
"208,0","0,285","0,300","0,573"
"209,0","0,285","0,300","0,573"
"210,0","0,285","0,300","0,573"
"211,0","0,285","0,300","0,407"
"212,0","0,285","0,300","0,407"
"213,0","0,285","0,300","0,407"
"214,0","0,285","0,300","0,407"
"215,0","0,285","0,300","0,537"
"216,0","0,285","0,224","0,537"
"217,0","0,231","0,224","0,644"
"218,0","0,231","0,224","0,644"
"219,0","0,231","0,224","0,644"
"220,0","0,231","0,224","0,644"
"221,0","0,231","0,224","0,644"
"222,0","0,231","0,224","0,644"
"223,0","0,231","0,224","0,568"
"224,0","0,231","0,224","0,578"
"225,0","0,231","0,224","0,578"
"226,0","0,371","0,277","0,707"
"227,0","0,371","0,277","0,707"
"228,0","0,371","0,353","0,644"
"229,0","0,371","0,353","0,644"
"230,0","0,371","0,353","0,644"
"231,0","0,371","0,353","0,644"
"232,0","0,371","0,353","0,644"
"233,0","0,371","0,353","0,500"
"234,0","0,371","0,353","0,500"
"235,0","0,371","0,277","0,455"
"236,0","0,371","0,277","0,455"
"237,0","0,285","0,277","0,455"
"238,0","0,285","0,277","0,545"
"239,0","0,285","0,251","0,545"
"240,0","0,285","0,277","0,556"
"241,0","0,285","0,277","0,556"
"242,0","0,285","0,277","0,556"
"243,0","0,285","0,277","0,556"
"244,0","0,285","0,191","0,556"
"245,0","0,285","0,191","0,491"
"246,0","0,285","0,191","0,491"
"247,0","0,285","0,191","0,491"
"248,0","0,285","0,191","0,537"
"249,0","0,285","0,191","0,483"
"250,0","0,285","0,191","0,483"
"251,0","0,285","0,191","0,483"
"252,0","0,285","0,191","0,483"
"253,0","0,285","0,191","0,483"
"254,0","0,285","0,191","0,537"
"255,0","0,361","0,353","0,537"
"256,0","0,361","0,353","0,573"
"257,0","0,361","0,353","0,573"
"258,0","0,361","0,353","0,573"
"259,0","0,361","0,353","0,593"
"260,0","0,361","0,353","0,636"
"261,0","0,361","0,353","0,636"
"262,0","0,361","0,353","0,636"
"263,0","0,361","0,353","0,636"
"264,0","0,361","0,353","0,636"
"265,0","0,361","0,353","0,546"
"266,0","0,361","0,353","0,546"
"267,0","0,361","0,353","0,546"
"268,0","0,361","0,353","0,546"
"269,0","0,361","0,353","0,546"
"270,0","0,361","0,353","0,503"
"271,0","0,361","0,353","0,503"
"272,0","0,285","0,353","0,503"
"273,0","0,285","0,277","0,503"
"274,0","0,285","0,277","0,503"
"275,0","0,231","0,277","0,556"
"276,0","0,231","0,277","0,556"
"277,0","0,361","0,277","0,556"
"278,0","0,361","0,277","0,600"
"279,0","0,361","0,353","0,600"
"280,0","0,361","0,353","0,557"
"281,0","0,361","0,353","0,514"
"282,0","0,361","0,353","0,556"
"283,0","0,361","0,353","0,556"
"284,0","0,361","0,353","0,556"
"285,0","0,361","0,353","0,593"
"286,0","0,371","0,277","0,593"
"287,0","0,371","0,191","0,593"
"288,0","0,371","0,353","0,593"
"289,0","0,371","0,353","0,547"
"290,0","0,371","0,353","0,547"
"291,0","0,371","0,353","0,547"
"292,0","0,371","0,353","0,547"
"293,0","0,371","0,353","0,547"
"294,0","0,371","0,353","0,511"
"295,0","0,371","0,353","0,511"
"296,0","0,371","0,353","0,531"
"297,0","0,371","0,353","0,531"
"298,0","0,371","0,353","0,531"
"299,0","0,285","0,277","0,556"
"300,0","0,285","0,277","0,556"
"301,0","0,285","0,277","0,556"
"302,0","0,285","0,277","0,556"
"303,0","0,285","0,277","0,593"
"304,0","0,285","0,277","0,593"
"305,0","0,371","0,277","0,593"
"306,0","0,371","0,277","0,593"
"307,0","0,371","0,277","0,593"
"308,0","0,371","0,277","0,593"
"309,0","0,371","0,277","0,517"
"310,0","0,371","0,277","0,517"
"311,0","0,371","0,277","0,481"
"312,0","0,371","0,277","0,481"
"313,0","0,285","0,191","0,555"
"314,0","0,285","0,191","0,555"
"315,0","0,285","0,191","0,555"
"316,0","0,285","0,191","0,555"
"317,0","0,285","0,191","0,593"
"318,0","0,285","0,217","0,636"
"319,0","0,285","0,217","0,636"
"320,0","0,285","0,217","0,636"
"321,0","0,285","0,217","0,636"
"322,0","0,285","0,217","0,681"
"323,0","0,285","0,217","0,681"
"324,0","0,285","0,217","0,504"
"325,0","0,285","0,217","0,450"
"326,0","0,371","0,303","0,580"
"327,0","0,371","0,303","0,580"
"328,0","0,371","0,297","0,504"
"329,0","0,285","0,297","0,504"
"330,0","0,285","0,297","0,504"
"331,0","0,285","0,297","0,504"
"332,0","0,285","0,297","0,504"
"333,0","0,285","0,297","0,504"
"334,0","0,285","0,297","0,504"
"335,0","0,285","0,211","0,504"
"336,0","0,285","0,211","0,504"
"337,0","0,285","0,211","0,504"
"338,0","0,285","0,211","0,504"
"339,0","0,285","0,211","0,504"
"340,0","0,361","0,211","0,526"
"341,0","0,361","0,211","0,526"
"342,0","0,361","0,211","0,450"
"343,0","0,285","0,157","0,450"
"344,0","0,285","0,157","0,450"
"345,0","0,285","0,157","0,450"
"346,0","0,249","0,157","0,450"
"347,0","0,285","0,211","0,580"
"348,0","0,285","0,211","0,580"
"349,0","0,285","0,211","0,580"
"350,0","0,285","0,211","0,580"
"351,0","0,285","0,211","0,580"
"352,0","0,285","0,260","0,707"
"353,0","0,285","0,260","0,743"
"354,0","0,285","0,260","0,570"
"355,0","0,285","0,211","0,570"
"356,0","0,285","0,211","0,405"
"357,0","0,285","0,211","0,314"
"358,0","0,285","0,211","0,314"
"359,0","0,285","0,157","0,458"
"360,0","0,285","0,157","0,458"
"361,0","0,285","0,211","0,458"
"362,0","0,285","0,211","0,458"
"363,0","0,285","0,211","0,458"
"364,0","0,285","0,211","0,534"
"365,0","0,285","0,211","0,491"
"366,0","0,285","0,211","0,491"
"367,0","0,285","0,211","0,491"
"368,0","0,361","0,287","0,491"
"369,0","0,361","0,373","0,491"
"370,0","0,361","0,373","0,491"
"371,0","0,285","0,373","0,491"
"372,0","0,285","0,373","0,491"
"373,0","0,285","0,373","0,491"
"374,0","0,285","0,373","0,491"
"375,0","0,285","0,373","0,415"
"376,0","0,371","0,373","0,415"
"377,0","0,371","0,373","0,415"
"378,0","0,371","0,373","0,461"
"379,0","0,371","0,297","0,461"
"380,0","0,285","0,297","0,461"
"381,0","0,285","0,211","0,461"
"382,0","0,231","0,211","0,461"
"383,0","0,231","0,211","0,461"
"384,0","0,231","0,211","0,461"
"385,0","0,231","0,211","0,461"
"386,0","0,231","0,211","0,461"
"387,0","0,285","0,287","0,537"
"388,0","0,285","0,287","0,537"
"389,0","0,285","0,287","0,537"
"390,0","0,285","0,287","0,573"
"391,0","0,285","0,287","0,573"
"392,0","0,285","0,287","0,573"
"393,0","0,285","0,287","0,573"
"394,0","0,361","0,287","0,573"
"395,0","0,447","0,373","0,573"
"396,0","0,447","0,373","0,573"
"397,0","0,447","0,373","0,537"
"398,0","0,447","0,373","0,537"
"399,0","0,447","0,373","0,573"
"400,0","0,447","0,373","0,573"
"401,0","0,447","0,373","0,573"
"402,0","0,361","0,287","0,573"
"403,0","0,361","0,287","0,573"
"404,0","0,361","0,287","0,573"
"405,0","0,361","0,287","0,573"
"406,0","0,361","0,287","0,573"
"407,0","0,361","0,287","0,537"
"408,0","0,285","0,287","0,600"
"409,0","0,285","0,287","0,600"
"410,0","0,285","0,211","0,600"
"411,0","0,285","0,211","0,600"
"412,0","0,285","0,211","0,600"
"413,0","0,285","0,211","0,600"
